x,y,z,time_board
0.08600000000000001,-0.084,1.034,1728952554.0175898
0.08600000000000001,-0.084,1.034,1728952554.0175931
0.08600000000000001,-0.08,1.038,1728952554.0175965
0.08600000000000001,-0.08,1.038,1728952554.0175998
0.08600000000000001,-0.08,1.038,1728952554.0176032
0.08600000000000001,-0.08,1.038,1728952554.0176077
0.08600000000000001,-0.08,1.038,1728952554.0176115
0.08600000000000001,-0.08,1.038,1728952554.017618
0.08600000000000001,-0.08,1.038,1728952554.0176215
0.08600000000000001,-0.08,1.038,1728952554.0176241
0.08600000000000001,-0.08,1.038,1728952554.0176325
0.08600000000000001,-0.08,1.038,1728952554.0176349
0.088,-0.076,1.038,1728952554.0176375
0.088,-0.076,1.038,1728952554.01764
0.088,-0.076,1.038,1728952554.0176425
0.088,-0.076,1.038,1728952554.017645
0.088,-0.076,1.038,1728952554.0176475
0.088,-0.076,1.038,1728952554.01765
0.088,-0.076,1.038,1728952554.0176525
0.088,-0.076,1.038,1728952554.0176551
0.088,-0.076,1.038,1728952554.0176575
0.088,-0.076,1.038,1728952554.0176601
0.082,-0.08,1.04,1728952554.0176628
0.082,-0.08,1.04,1728952554.0176651
0.082,-0.08,1.04,1728952554.0176678
0.082,-0.08,1.04,1728952554.0176704
0.082,-0.08,1.04,1728952554.017673
0.082,-0.08,1.04,1728952554.0176756
0.082,-0.08,1.04,1728952554.0176783
0.082,-0.08,1.04,1728952554.017681
0.082,-0.08,1.04,1728952554.0176833
0.082,-0.08,1.04,1728952554.0176857
0.09,-0.078,1.038,1728952554.0176892
0.09,-0.078,1.038,1728952554.017692
0.09,-0.078,1.038,1728952554.0176945
0.09,-0.078,1.038,1728952554.0176969
0.09,-0.078,1.038,1728952554.0176995
0.09,-0.078,1.038,1728952554.017702
0.09,-0.078,1.038,1728952554.0177045
0.09,-0.078,1.038,1728952554.017707
0.09,-0.078,1.038,1728952554.0177095
0.09,-0.078,1.038,1728952554.017712
0.09,-0.08600000000000001,1.034,1728952554.0177147
0.09,-0.08600000000000001,1.034,1728952554.0177171
0.09,-0.08600000000000001,1.034,1728952554.0177195
0.09,-0.08600000000000001,1.034,1728952554.0177224
0.09,-0.08600000000000001,1.034,1728952554.0177248
0.09,-0.08600000000000001,1.034,1728952554.0177271
0.09,-0.08600000000000001,1.034,1728952554.0177298
0.09,-0.08600000000000001,1.034,1728952554.0177324
0.09,-0.08600000000000001,1.034,1728952554.0177348
0.09,-0.08600000000000001,1.034,1728952554.0177372
0.09,-0.088,1.032,1728952554.0177398
0.09,-0.088,1.032,1728952554.017743
0.09,-0.088,1.032,1728952554.017746
