Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board,time_marker,marker
-19475.320813098053,-187500.02235174447,28.118494524776285,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6731708,1730329312.621244,5.0
-19468.72704848373,-187500.02235174447,80.89096318375626,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.677384,1730329312.621244,5.0
-19415.95457982476,-187500.02235174447,122.33109740389555,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6813314,1730329312.621244,5.0
-19425.342312495985,-187500.02235174447,70.54210550094909,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.685169,1730329312.621244,5.0
-19473.82324621955,-187500.02235174447,28.85610209180141,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6883025,1730329312.621244,5.0
-19479.79116198912,-187500.02235174447,71.68204446816975,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.692418,1730329312.621244,5.0
-19434.104196322467,-187500.02235174447,114.70915254463584,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.6964295,1730329312.621244,5.0
-19422.74951013917,-187500.02235174447,77.40409104872836,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.700422,1730329312.621244,5.0
-19467.00596416068,-187500.02235174447,22.1505787552093,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7053924,1730329312.621244,5.0
-19483.76977250216,-187500.02235174447,53.443020992639184,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.709424,1730329312.621244,5.0
-19442.70961793776,-187500.02235174447,121.68289681469165,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7134352,1730329312.621244,5.0
-19421.073129305023,-187500.02235174447,100.3369808598734,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7162857,1730329312.621244,5.0
-19457.43941753381,-187500.02235174447,37.30506149590749,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7203465,1730329312.621244,5.0
-19487.502513826195,-187500.02235174447,52.772468658979975,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7242603,1730329312.621244,5.0
-19450.2421558192,-187500.02235174447,109.1659199197197,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7283175,1730329312.621244,5.0
-19408.22087624322,-187500.02235174447,108.5624228194264,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7327657,1730329312.621244,5.0
-19443.156652826867,-187500.02235174447,48.36917500128448,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7373636,1730329312.621244,5.0
-19478.13713289942,-187500.02235174447,48.54798895692694,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7413003,1730329312.621244,5.0
-19450.309211052565,-187500.02235174447,108.47301584160518,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7444634,1730329312.621244,5.0
-19414.859344346445,-187500.02235174447,112.89866124375595,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7482672,1730329312.621244,5.0
-19439.51331848065,-187500.02235174447,57.466334994594455,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7523618,1730329312.621244,5.0
-19478.606519532983,-187500.02235174447,46.625738933770535,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7563846,1730329312.621244,5.0
-19457.03708613361,-187500.02235174447,105.96962046261078,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7604694,1730329312.621244,5.0
-19404.55519015255,-187500.02235174447,128.4331236401944,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.765351,1730329312.621244,5.0
-19414.926399579814,-187500.02235174447,70.31858805639602,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7684865,1730329312.621244,5.0
-19459.071094879044,-187500.02235174447,46.625738933770535,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.772483,1730329312.621244,5.0
-19457.729990211727,-187500.02235174447,95.55370754643768,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7764995,1730329312.621244,5.0
-19419.530858937607,-187500.02235174447,125.41563813872791,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.780538,1730329312.621244,5.0
-19421.520164194128,-187500.02235174447,84.95898067462214,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7844915,1730329312.621244,5.0
-19454.22076633224,-187500.02235174447,50.11261106879844,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7884932,1730329312.621244,5.0
-19459.2946123236,-187500.02235174447,88.08822489836514,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7935224,1730329312.621244,5.0
-19426.214030529743,-187500.02235174447,122.1746351927084,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.7964046,1730329312.621244,5.0
-19418.99441707068,-187500.02235174447,85.13779463026461,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8005052,1730329312.621244,5.0
-19461.507435024672,-187500.02235174447,36.90273009571196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8045156,1730329312.621244,5.0
-19477.10895265448,-187500.02235174447,67.97165488858877,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8085043,1730329312.621244,5.0
-19440.630905703416,-187500.02235174447,114.73150428909116,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.812552,1730329312.621244,5.0
-19431.980780599213,-187500.02235174447,85.71893998610258,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8165948,1730329312.621244,5.0
-19457.75234195618,-187500.02235174447,36.56745392888235,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8215835,1730329312.621244,5.0
-19470.403429317885,-187500.02235174447,53.59948320382634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.824612,1730329312.621244,5.0
-19442.307286537565,-187500.02235174447,105.83550999587894,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8286011,1730329312.621244,5.0
-19409.11494602144,-187500.02235174447,104.49440532856052,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8324869,1730329312.621244,5.0
-19439.84859464748,-187500.02235174447,40.34489874182925,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8364708,1730329312.621244,5.0
-19475.700792753792,-187500.02235174447,42.55772144290465,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8404014,1730329312.621244,5.0
-19460.769827457647,-187500.02235174447,93.51969880100476,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8446422,1730329312.621244,5.0
-19425.051739818067,-187500.02235174447,102.99683845005497,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8495083,1730329312.621244,5.0
-19435.780577156613,-187500.02235174447,47.07277382287668,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.852502,1730329312.621244,5.0
-19480.81934223406,-187500.02235174447,26.55387241290479,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.855631,1730329312.621244,5.0
-19468.07884789453,-187500.02235174447,81.00272190603279,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8610935,1730329312.621244,5.0
-19422.34717873897,-187500.02235174447,109.12121643080908,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8646672,1730329312.621244,5.0
-19424.26942876213,-187500.02235174447,70.54210550094909,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8685954,1730329312.621244,5.0
-19463.31792632555,-187500.02235174447,38.89203535223429,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8725698,1730329312.621244,5.0
-19474.67261250885,-187500.02235174447,77.22527709308591,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8767197,1730329312.621244,5.0
-19436.94286786829,-187500.02235174447,104.29323962846276,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8796265,1730329312.621244,5.0
-19417.161574025344,-187500.02235174447,78.52167827149371,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.883674,1730329312.621244,5.0
-19458.579356501028,-187500.02235174447,41.4624859645946,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8886287,1730329312.621244,5.0
-19471.7445339852,-187500.02235174447,77.1805736041753,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.8925664,1730329312.621244,5.0
-19424.89527760688,-187500.02235174447,126.15324570575306,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.896741,1730329312.621244,5.0
-19401.31418720653,-187500.02235174447,86.30008534194057,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9007163,1730329312.621244,5.0
-19452.56673724255,-187500.02235174447,20.18362524314228,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.903755,1730329312.621244,5.0
-19498.74544128721,-187500.02235174447,42.98240458755548,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.907542,1730329312.621244,5.0
-19455.22659483273,-187500.02235174447,111.15522517624204,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.911605,1730329312.621244,5.0
-19405.918646564325,-187500.02235174447,94.81609997941256,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9166126,1730329312.621244,5.0
-19451.717370953247,-187500.02235174447,19.13309325374285,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.920731,1730329312.621244,5.0
-19527.13215674545,-187500.02235174447,-14.68509610713674,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.924626,1730329312.621244,5.0
-19520.761909575693,-187500.02235174447,27.447942191117072,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.928763,1730329312.621244,5.0
-19492.82222900656,-187500.02235174447,68.26222756650778,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9315836,1730329312.621244,5.0
-19459.76399895716,-187500.02235174447,70.02801537847702,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.935815,1730329312.621244,5.0
-19489.58122606053,-187500.02235174447,60.03678560695477,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9398503,1730329312.621244,5.0
-19465.173121115346,-187500.02235174447,120.05121946945424,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.944787,1730329312.621244,5.0
-19383.58925385347,-187500.02235174447,151.00838554005452,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9486346,1730329312.621244,5.0
-19363.003297210133,-187500.02235174447,106.95309721864427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9527204,1730329312.621244,5.0
-19433.344237010984,-187500.02235174447,73.71605321360269,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9566195,1730329312.621244,5.0
-19443.31311503805,-187500.02235174447,110.73054203159118,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9599545,1730329312.621244,5.0
-19412.26654198963,-187500.02235174447,127.78492305099049,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9639788,1730329312.621244,5.0
-19419.620265915422,-187500.02235174447,71.10089911233176,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9680078,1730329312.621244,5.0
-19468.123551383444,-187500.02235174447,37.37211672927341,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9718893,1730329312.621244,5.0
-19480.90874921188,-187500.02235174447,83.2378963515635,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9768317,1730329312.621244,5.0
-19430.37145499843,-187500.02235174447,107.84716699685656,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.980801,1730329312.621244,5.0
-19445.011847616657,-187500.02235174447,51.96780585858892,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9837782,1730329312.621244,5.0
-19509.87661002596,-187500.02235174447,11.131168738742916,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9878728,1730329312.621244,5.0
-19514.83869729504,-187500.02235174447,26.486817179538868,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9917488,1730329312.621244,5.0
-19481.646356778903,-187500.02235174447,43.02710807646609,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.995804,1730329312.621244,5.0
-19459.51812976815,-187500.02235174447,36.90273009571196,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329312.9997048,1730329312.621244,5.0
-19409.29375997708,-187500.02235174447,-35.740439384035994,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0048916,1730329312.621244,5.0
-19511.105955971,-187500.02235174447,-77.13587011526468,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.00892,1730329312.621244,5.0
-19572.39443926745,-187500.02235174447,76.9347044151669,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0118992,1730329312.621244,5.0
-19471.56572002956,-187500.02235174447,92.17859413368632,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0158014,1730329312.621244,5.0
-19382.4269631418,-187500.02235174447,62.0037391190218,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.01981,1730329312.621244,5.0
-19366.244300156155,-187500.02235174447,59.92502688467823,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0237129,1730329312.621244,5.0
-19431.31022826556,-187500.02235174447,14.327468195851829,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.027842,1730329312.621244,5.0
-19382.53872186407,-187500.02235174447,90.70337899963606,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0318112,1730329312.621244,5.0
-19488.597749304503,-187500.02235174447,73.00079739103286,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0369532,1730329312.621244,5.0
-19463.9437751703,-187500.02235174447,63.50130599752737,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.039784,1730329312.621244,5.0
-19444.65421970537,-187500.02235174447,5.498529136005537,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0439546,1730329312.621244,5.0
-19433.74656841118,-187500.02235174447,-70.5644572454044,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0479813,1730329312.621244,5.0
-19470.246967106697,-187500.02235174447,-0.5140901224720624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0520806,1730329312.621244,5.0
-19392.619358613418,-187500.02235174447,78.99106490505515,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.05581,1730329312.621244,5.0
-19412.847687345467,-187500.02235174447,-16.517939152471918,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0598676,1730329312.621244,5.0
-19615.801526999658,-187500.02235174447,86.18832661966404,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.064818,1730329312.621244,5.0
-19524.606409622003,-187500.02235174447,87.39532082025062,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0679555,1730329312.621244,5.0
-19429.3879782424,-187500.02235174447,37.79679987392424,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0718527,1730329312.621244,5.0
-19425.87875436291,-187500.02235174447,41.41778247568399,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0759237,1730329312.621244,5.0
-19178.064963586923,-187500.02235174447,35.71808763958069,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.079882,1730329312.621244,5.0
-19324.1112618579,-187500.02235174447,50.3137767688962,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0839293,1730329312.621244,5.0
-19499.90773199889,-187500.02235174447,37.30506149590749,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0880089,1730329312.621244,5.0
-19511.57534260456,-187500.02235174447,48.70445116811409,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0929327,1730329312.621244,5.0
-19522.393586920927,-187500.02235174447,131.2941469304737,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.096063,1730329312.621244,5.0
-19481.98163294573,-187500.02235174447,56.3487477718291,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.0999897,1730329312.621244,5.0
-19456.590051244504,-187500.02235174447,-44.32350925487391,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1040044,1730329312.621244,5.0
-19424.22472527322,-187500.02235174447,63.23308506406368,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1080923,1730329312.621244,5.0
-19349.25697437012,-187500.02235174447,98.72765525909128,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1119392,1730329312.621244,5.0
-19400.84480057297,-187500.02235174447,-24.18458750064224,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.115896,1730329312.621244,5.0
-19534.44117718234,-187500.02235174447,-14.014543773477529,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.120004,1730329312.621244,5.0
-19344.63016326788,-187500.02235174447,121.43702762568329,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1230972,1730329312.621244,5.0
-19417.586257169994,-187500.02235174447,82.83556495136797,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.128179,1730329312.621244,5.0
-19476.304289854084,-187500.02235174447,39.85316036381249,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1319673,1730329312.621244,5.0
-19349.1675673923,-187500.02235174447,-12.09229375032112,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1361372,1730329312.621244,5.0
-19393.84870455846,-187500.02235174447,24.85513983430145,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.13993,1730329312.621244,5.0
-19437.34519926849,-187500.02235174447,67.25639906601896,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1441624,1730329312.621244,5.0
-19433.99243760019,-187500.02235174447,81.89679168424507,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1480532,1730329312.621244,5.0
-19439.803891158568,-187500.02235174447,71.99496889054404,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.150955,1730329312.621244,5.0
-19466.55892927157,-187500.02235174447,-17.009677530488673,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1549685,1730329312.621244,5.0
-19483.72506901325,-187500.02235174447,59.4779919955721,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.160149,1730329312.621244,5.0
-19415.64165540238,-187500.02235174447,56.08052683836542,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1641183,1730329312.621244,5.0
-19390.004204512144,-187500.02235174447,-21.278860721452325,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1680667,1730329312.621244,5.0
-19324.82651768047,-187500.02235174447,39.62964291925943,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1721022,1730329312.621244,5.0
-19434.12654806692,-187500.02235174447,31.80653235990195,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1761425,1730329312.621244,5.0
-19504.73570880124,-187500.02235174447,10.237098960530634,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.179136,1730329312.621244,5.0
-19378.247186928653,-187500.02235174447,83.70728298512495,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.18407,1730329312.621244,5.0
-19416.669835647328,-187500.02235174447,-27.894977080223214,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.1881886,1730329312.621244,5.0
-19567.521758976192,-187500.02235174447,-121.79465553696818,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.192193,1730329312.621244,5.0
-19368.993564724155,-187500.02235174447,105.0084954510326,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.196046,1730329312.621244,5.0
-19215.21356287164,-187500.02235174447,126.2650044280296,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2001865,1730329312.621244,5.0
-19383.231625942182,-187500.02235174447,-6.303191936396591,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2032251,1730329312.621244,5.0
-19542.17488076388,-187500.02235174447,31.04657304842151,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2070353,1730329312.621244,5.0
-19502.85816226699,-187500.02235174447,48.86091337930124,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2114868,1730329312.621244,5.0
-19413.965274568232,-187500.02235174447,56.75107917202463,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2160895,1730329312.621244,5.0
-19472.90682469688,-187500.02235174447,-51.61017794730401,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2203147,1730329312.621244,5.0
-19453.10317910948,-187500.02235174447,-63.74717518653574,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1730329313.2241254,1730329312.621244,5.0
